Chromosome	Start
3B	783518428
3B	783526901
3B	783541261
3B	783576215
3B	783578913
3B	783581090
3B	783593676
3B	783595200
3B	783643377
3B	783679002
3B	783766078
3B	783814540
3B	783831526
3B	783834322
3B	783856284
3B	783859755
3B	783864958
3B	783867010
3B	783870023
3B	783871622
3B	783916712
3B	783920252
3B	783922415
3B	783924602
3B	783948114
3B	783978061
3B	783983893
3B	784004150
3B	784047624
3B	784066774
3B	784089116
3B	784090946
3B	784094596
3B	784097205
3B	784114118
3B	784117361
3B	784119002
3B	784123788
3B	784150100
3B	784163346
3B	784249895
3B	784258373
3B	784303075
3B	784311807
3B	784882261
3B	784891350
3B	784895706
3B	784906959
3B	784967384
3B	785171776
3B	785174662
3B	785176623
3B	785180179
3B	785487541
3B	785490295
3B	785495151
3B	785508650
3B	785515812
3B	785522088
3B	785528604
3B	785535280
3B	785540428
3B	785547345
3B	785590810
3B	785618795
3B	785634361
3B	785637184
3B	785647541
3B	785664793
3B	785667100
3B	785677716
3B	785679907
3B	785716370
3B	785721941
3B	785732478
3B	785795910
3B	785820810
3B	785824663
3B	785835535
3B	785837100
3B	785839008
3B	785843313
3B	785847799
3B	785952906
3B	785954286
3B	785956809
3B	786018403
3B	786021071
3B	786024418
3B	786030683
3B	786033416
3B	786035967
3B	786091839
3B	786183619
3B	786192696
3B	786239982
3B	786247521
3B	786259750
3B	786268326
3B	786270889
3B	786280892
3B	786285272
3B	786295474
3B	786328403
3B	786335999
3B	786358026
3B	786365509
3B	786368701
3B	786382166
3B	786405467
3B	786435837
3B	786562415
3B	786568933
3B	786602546
3B	786664377
3B	786720129
3B	786726388
3B	786728403
3B	786732924
3B	786799262
3B	786809178
3B	786812076
3B	786867602
3B	786927635
3B	786932629
3B	786946876
3B	786974812
3B	787017313
3B	787038665
3B	787323651
3B	787326069
3B	787386173
3B	787389097
3B	787529701
3B	787557703
3B	787561765
3B	787566183
3B	787593658
3B	787613579
3B	787670796
3B	787674339
3B	787675564
3B	787691227
3B	787708855
3B	787825300
3B	787827262
3B	787968874
3B	787969957
3B	787985179
3B	787995175
3B	787999475
3B	788007366
3B	788019933
3B	788062676
3B	788065796
3B	788067246
3B	788081180
3B	788163750
3B	788185163
3B	788194488
3B	788198018
3B	788203093
3B	788228306
3B	788230714
3B	788233066
3B	788241466
3B	788245310
3B	788248645
3B	788284232
3B	788286005
3B	788297684
3B	788316248
3B	788317664
3B	788322277
3B	788327208
3B	788338926
3B	788343057
3B	788348756
3B	788368051
3B	788369254
3B	788374019
3B	788382275
3B	788384529
3B	788385669
3B	788386755
3B	788393404
3B	788756569
3B	788759226
3B	788761733
3B	788841081
3B	788847082
3B	788895228
3B	788902153
3B	788942437
3B	788963683
3B	788968624
3B	788973214
3B	789113147
3B	789118717
3B	789121632
3B	789129492
3B	789131130
3B	789140250
3B	789159464
3B	789195499
3B	789216923
3B	789219832
3B	789223307
3B	789226302
3B	789233889
3B	789248369
3B	789304954
3B	789309506
3B	789332789
3B	789360824
3B	789366146
3B	789388950
3B	789420732
3B	789427180
3B	789474121
3B	789487680
3B	789531163
3B	789534119
3B	789788517
3B	789849133
3B	789929615
3B	789967867
3B	790028111
3B	790036161
3B	790043699
3B	790045907
3B	790186868
3B	790290322
3B	790313995
3B	790315736
3B	790361388
3B	790442825
3B	790481574
3B	790523350
3B	790565017
3B	798059739
3B	798066659
3B	798098788
3B	798115088
3B	798128199
3B	798187074
3B	798188287
3B	798201781
3B	798202938
3B	798205960
3B	798208587
3B	798257092
3B	798292771
3B	798304662
3B	798306499
3B	798310779
3B	798355833
3B	798393018
3B	798409131
3B	798433916
3B	798450086
3B	798465370
3B	799261682
3B	799267742
3B	800488899
3B	800527093
3B	800535466
3B	800537349
3B	800565478
3B	800567826
3B	800604274
3B	800663097
3B	800671095
3B	800736350
3B	800738189
3B	800740650
3B	800770820
3B	800772616
3B	800789459
3B	800810433
3B	800815734
3B	801221569
3B	801242335
3B	801321879
3B	801325456
3B	801328247
3B	801330883
3B	801342430
3B	801345163
3B	802853020
3B	802854932
3B	802856718
3B	802962109
3B	802963721
3B	802967679
3B	802970104
3B	803015527
3B	803032728
3B	803339412
3B	803355513
3B	803430700
3B	803497559
3B	803527063
3B	803528184
3B	803536894
3B	803567680
3B	803568556
3B	803586739
3B	803627025
3B	803882981
3B	803893589
3B	803918689
3B	803970415
3B	804021753
4A	147623431
4A	536618241
4A	536651765
4A	536657653
4A	539066136
4A	539228026
4A	541005748
4A	541018219
4A	541097955
4A	541103162
4A	546101500
4A	546150365
4A	546245049
4A	546503081
4A	548008355
4A	548010311
4A	572134713
4A	572221546
4A	572230920
4A	577706298
4A	577713920
4A	577716722
4A	577718867
4A	577721078
4A	577907991
4A	577909217
4A	577911825
4A	578206708
4A	578210280
4A	578237358
4A	578260166
4A	578261182
4A	578409193
4A	578416387
4A	578519522
4A	578543134
4A	580293003
4A	580294377
4A	580296843
4A	582881194
4A	582882792
4A	582905441
4A	583373880
4A	583375351
4A	583377677
4A	583436009
4A	583438948
4A	583448421
4A	583458499
4A	583472046
4A	583493172
4A	583495008
4A	583521543
4A	583553728
4A	583587191
4A	583595958
4A	583604709
4A	588707690
4A	588738986
4A	588739582
4A	588748070
4A	588804387
4A	588809218
4A	588810676
4A	588872150
4A	588886606
4A	588920120
4A	588924454
4A	588927072
4A	588957700
4A	588965886
4A	588973251
4A	588978009
4A	588988375
4A	588991568
4A	589000055
4A	595311946
4A	595313749
4A	595335053
4A	596211139
4A	596214134
4A	596225709
4A	596231149
4A	596241232
4A	596242192
4A	596243653
4A	601454144
4A	601721892
4A	601723414
4A	601742044
4A	601743473
4A	601849738
4A	601850782
4A	601869415
4A	601880412
4A	601883349
4A	601906055
4A	602272353
4A	602298033
4A	602302947
4A	602313554
4A	602330439
4A	603019957
4A	603941187
4A	603963604
4A	603964547
4A	604206581
4A	609216040
4A	612563098
4A	612814927
4A	612816605
4A	612817973
4A	623674706
4A	623866834
4A	623881061
4A	623891682
4A	623897698
4A	623898857
4A	623901248
4A	623916548
4A	623924536
4A	624142381
4A	624143968
4A	627665087
4A	627699662
4A	627732061
4A	627760926
4A	627785260
4A	627811242
4A	627822400
4A	627846775
4A	627898201
4A	627935425
4A	627948502
4A	627959696
4A	628020516
4A	628025848
4A	632393734
4A	632409694
4A	632416092
4A	632420050
4A	632422405
4A	637337335
4A	637339406
4A	637363097
4A	637365213
4A	637393477
4A	637396800
4A	637406016
4A	637413649
4A	637416970
4A	637451842
4A	637462111
4A	637472254
4A	637484533
4A	637488137
4A	637491321
4A	637495447
4A	637555160
4A	642290300
4A	642740165
4A	642751386
4A	642765637
4A	642772140
4A	642775515
4A	642999924
4A	643178919
4A	643181155
4A	643200428
4A	643201834
4A	643257963
4A	660552079
4A	660564643
4A	660628835
4A	660636909
4A	660640301
4A	660693555
4A	660702647
4A	660734348
4A	660751455
4A	660754076
4A	660773565
4A	660786859
4A	660852966
4A	660861363
4A	660882907
4A	660910738
4A	660928164
4A	660950309
4A	660954011
4A	661009541
4A	661017834
4A	661065148
4A	661066917
4A	661087570
4A	661092998
4A	661095155
4A	666689384
4A	666776191
4A	666781883
4A	666810501
4A	666818420
4A	666831929
4A	666879149
4A	666909781
4A	666943656
4A	666945709
4A	666947892
4A	667002450
4A	667004533
4A	667070492
4A	667089722
4A	667352562
4A	667497632
4A	667569658
4A	667571791
4A	667630802
4A	667647679
4A	667694381
4A	667727530
4A	667729780
4A	667873456
4A	667885411
4A	667889484
4A	667891817
4A	667973474
4A	668032787
4A	668034277
4A	668054215
4A	668055610
4A	668058000
4A	668061509
4A	669884979
4A	673338881
4A	673344750
4A	673972599
4A	673994901
4A	674001984
4A	674022353
4A	674046004
4A	674102137
4A	674112010
4A	674114591
4A	674133497
4A	674135982
4A	674149821
4A	674158585
4A	674168428
4A	674177731
4A	674182808
4A	674220529
4A	674241989
4A	674306036
4A	674310023
4A	674314477
4A	674319723
4A	674815922
4A	674885170
4A	680996219
4A	685726721
4A	685769305
4A	685774733
4A	685784496
4A	685786245
4A	685787867
4A	685802233
4A	685804548
4A	685806803
4A	685816850
4A	685823172
4A	685829068
4A	685844422
4A	685974134
4A	685975585
4A	685978316
4A	685979499
4A	686005853
4A	686039015
4A	686060089
4A	686063092
4A	686255952
4A	686267094
4A	686278050
4A	686335062
4A	686350625
4A	688333879
4A	688361891
4A	688370855
4A	688387276
4A	688389194
4A	688392067
4A	688396590
4A	688422496
4A	688465401
4A	688467010
4A	688499957
4A	688544252
4A	688559119
4A	688576253
4A	688594093
4A	688791100
4A	688941045
4A	689073901
4A	689090826
4A	689094349
4A	689096178
4A	689137688
4A	689183047
4A	689184108
4A	689229414
4A	689230479
4A	689398170
4A	689400785
4A	689403174
4A	689412059
4A	689415735
4A	689434054
4A	689436842
4A	689439018
4A	689448007
4A	689452092
4A	689459898
4A	689477508
4A	689487161
4A	689490330
4A	689492988
4A	689505024
4A	689506361
4A	689510222
4A	689519020
4A	689523052
4A	689542879
4A	689546348
4A	689555029
4A	689559036
4A	689566982
4A	689576677
4A	689579472
4A	689582344
4A	689594344
4A	689597229
4A	689599749
4A	689608378
4A	689612277
4A	689616327
4A	689620401
4A	689630111
4A	689633194
4A	689635738
4A	689647757
4A	689650474
4A	689652806
4A	689660921
4A	689664950
4A	689672583
4A	689682514
4A	689685619
4A	689688259
4A	689700493
4A	689712353
4A	689726471
4A	689730199
4A	689738434
4A	689748154
4A	689751137
4A	689753855
4A	689766195
4A	689767799
4A	689782872
4A	689793969
4A	689795393
4A	689798988
4A	689890854
4A	689925515
4A	689935651
4A	689937680
4A	689957354
4A	689958986
4A	690046290
4A	690068036
4A	690093375
4A	690216797
4A	690256161
4A	690286444
4A	690305874
4A	690312219
4A	690449165
4A	690613246
4A	690621472
4A	690670137
4A	690700334
4A	690728076
4A	690731071
4A	690773129
4A	690777170
4A	690787257
4A	690794462
4A	690816976
4A	690835896
4A	690841557
4A	690889811
4A	690967813
4A	690972913
4A	690996057
4A	691005964
4A	691011082
4A	691034212
4A	691220717
4A	691230113
4A	691237113
4A	691271206
4A	691344350
4A	691353751
4A	691361105
4A	691394874
4A	691406906
4A	691449778
4A	691463348
4A	691483660
4A	691628395
4A	691633437
4A	691652503
4A	691724798
4A	691757860
4A	691764015
4A	691766995
4A	691871542
4A	691920349
4A	692009228
4A	692087480
4A	692109496
4A	692137559
4A	692156134
4A	692208312
4A	692214236
4A	692223734
4A	692234517
4A	692238409
4A	692248627
4A	692293075
4A	692313773
4A	692316824
4A	692365560
4A	692371976
4A	692430924
4A	692433273
4A	692463362
4A	692465859
4A	692546248
4A	692548430
4A	692562456
4A	692607309
4A	692679833
4A	692760471
4A	692778984
4A	692819919
4A	692821868
4A	692845796
4A	692897284
4A	692912202
4A	692935562
4A	693080958
4A	693116094
4A	693125640
4A	693133205
4A	693136133
4A	693138214
4A	693169617
4A	693388247
4A	693390104
4A	693435506
4A	693449735
4A	693464987
4A	693478062
4A	693480819
4A	693519535
4A	693542940
4A	693565935
4A	693590401
4A	693609736
4A	693635346
4A	693641280
4A	693788308
4A	693804885
4A	694032099
4A	694056335
4A	694098931
4A	694143810
4A	694224902
4A	694248558
4A	694254826
4A	694271104
4A	694291038
4A	694300610
4A	694371069
4A	694389987
4A	694454967
4A	694615102
4A	694628032
4A	695118327
4A	695135439
4A	695138898
4A	695171269
4A	695179018
4A	695434226
4A	695442524
4A	695461432
4A	695476245
4A	695580128
4A	695583433
4A	695602598
4A	695617046
4A	695622177
4A	695641224
4A	695656601
4A	695666337
4A	695711856
4A	695717508
4A	695722927
4A	695818517
4A	695825415
4A	695893179
4A	695902481
4A	695916738
4A	695919227
4A	695929872
4A	695946029
4A	696106093
4A	696120794
4A	696127416
4A	696138833
4A	696148836
4A	696171765
4A	696174739
4A	696189934
4A	696191719
4A	696193073
4A	696195686
4A	696206951
4A	696234252
4A	696236210
4A	696336584
4A	696340948
4A	696382233
4A	696391102
4A	696416844
4A	696420464
4A	696423248
4A	696456593
4A	696485716
4A	696563473
4A	696632332
4A	696634997
4A	696636720
4A	696639546
4A	696642218
4A	696711524
4A	696857479
4A	696866687
4A	696919941
4A	696922455
4A	696949779
4A	696959024
4A	696964220
4A	697190017
4A	697194858
4A	697197462
4A	697204698
4A	697207845
4A	697209462
4A	697228374
4A	697241830
4A	697243356
4A	697244115
4A	697262024
4A	697264116
4A	697276675
4A	697282230
4A	697293896
4A	697295418
4A	697296148
4A	697314087
4A	697316203
4A	697328650
4A	697334195
4A	697337319
4A	697363331
4A	697368635
4A	697631774
4A	697807590
4A	697808528
4A	697887088
4A	697910548
4A	697914002
4A	697930127
4A	697932070
4A	698075828
4A	698078870
4A	698089503
4A	698105865
4A	698108963
4A	698112952
4A	698129800
4A	698135467
4A	698142225
4A	698156441
4A	698168114
4A	698177141
4A	698258559
4A	698261684
4A	698264624
4A	698268280
4A	698289701
4A	698293396
4A	698315057
4A	698318385
4A	698342319
4A	698368239
4A	698370981
4A	698381250
4A	698442780
4A	698445264
4A	698462553
4A	698496009
4A	698498816
4A	698504895
4A	698508700
4A	698519703
4A	698533627
4A	698545248
4A	698559801
4A	698570800
4A	698595574
4A	698644809
4A	698658132
4A	698680412
4A	698711209
4A	698719247
4A	698791329
4A	698804403
4A	698808381
4A	698815726
4A	698820117
4A	698892717
4A	699016061
4A	699025370
4A	699101721
4A	699231072
4A	699269491
4A	699271881
4A	699304865
4A	699327961
4A	699340948
4A	699355882
4A	699388502
4A	699421321
4A	699432650
4A	699458590
4A	699465708
4A	699523515
4A	699525949
4A	699542596
4A	699578492
4A	699598745
4A	699603981
4A	699626851
4A	699646277
4A	699651130
4A	699659050
4A	699689306
4A	699699536
4A	699708116
4A	699764855
4A	699773386
4A	699775063
4A	699830859
4A	699839667
4A	700130173
4A	703566920
4A	703569579
4A	703901775
4A	704220092
4A	704225666
4A	704227375
4A	704231399
4A	704240512
4A	704244701
4A	704254765
4A	704377392
4A	704474714
4A	704485321
4A	704604110
4A	704629083
4A	706613324
4A	706618342
4A	706631799
4A	706687919
4A	706692817
4A	706707368
4A	706722787
4A	706864188
4A	706907375
4A	706936279
4A	706973164
4A	706989131
4A	706991366
4A	707071804
4A	707076809
4A	707094571
4A	707097775
4A	707099266
4A	707264963
4A	707267550
4A	707272858
4A	707635877
4A	707771096
4A	707774831
4A	707791493
4A	708270273
4A	708306903
4A	708437416
4A	708442148
4A	708471178
4A	708476828
4A	708517341
4A	708521853
4A	708700529
4A	708739519
4A	708849118
4A	708941214
4A	709565943
4A	710322756
4A	710324769
4A	710370536
4A	710384472
4A	710386905
4A	710392351
4A	710394151
4A	710407888
4A	710411243
4A	710412255
4A	710415637
4A	710431869
4A	710442012
4A	710452318
4A	710777213
4A	728219366
4A	728224723
4A	728341603
4A	728607796
4A	728618892
4A	728721514
4A	728723908
4A	728837725
4A	728896358
4A	728915366
4A	728919351
4A	728931906
4A	728949525
4A	728953402
4A	729048393
4A	729058105
4A	729077021
4A	729097976
4A	729102378
4A	729159260
4A	729187403
4A	729188835
4A	729429215
4A	729440348
4A	729449640
4A	729473692
4A	729493403
4A	729494634
4A	729517210
4A	729575070
4A	729588700
4A	729591914
4A	729641933
4A	729647748
4A	729651373
4A	729657014
4A	729668845
4A	729688422
4A	729696850
4A	729739232
4A	729753554
4A	729771129
4A	729786502
4A	729799978
4A	729801728
4A	729818889
4A	729836691
4A	729848388
4A	729849814
4A	729872647
4A	729879816
4A	730138657
4A	730140665
4A	730304186
4A	730353701
4A	730361541
4A	730630669
4A	730697973
4A	730712305
4A	730714612
4A	730800309
4A	730803000
4A	730838183
4A	735578365
4A	735582464
4A	735584199
4A	735587845
4A	735589942
4A	735605929
4A	735610556
4A	735620116
4A	735673974
4A	736012456
4A	736019524
4A	736031646
4A	736035929
4A	736042180
4A	736058593
4A	736065515
4A	736077095
4A	736081592
4A	736088354
4A	736100089
4A	736104086
4A	736110757
4A	736122908
4A	736130657
4A	736138662
4A	736141961
4A	736156320
4A	736159672
4A	736165537
4A	736172797
4A	736178623
4A	736186379
4A	736192164
4A	736197723
4A	736212911
4A	736214631
4A	736277891
4A	736283234
4A	736293579
4A	736342617
4A	736381271
4A	736392707
4A	736395483
4A	736406508
4A	736407698
4A	736425939
4A	736430405
4A	736435739
4A	736473713
4A	736484328
4A	736498677
4A	736504599
4A	736548902
4A	736566429
4A	736572647
4A	736609778
4A	736620508
4A	736634683
4A	736640908
4A	736686132
4A	736698687
4A	736701333
4A	736719672
4A	736732555
4A	736734609
4A	736753215
4A	736766151
4A	736768503
4A	736786836
4A	736799780
4A	736802109
4A	736820355
4A	736833175
4A	736835426
4A	737092863
4A	737131944
4A	737147036
4A	737216866
4A	737222191
4A	737224982
4A	737227245
4A	737229401
4A	737246015
4A	737278396
4A	737290309
4A	737298129
4A	737315865
4A	737331976
4A	737339082
4A	737354799
4A	737357274
4A	737359315
4A	737365537
4A	737385028
4A	737385986
4A	737479665
4A	737521888
4A	737524239
4A	737534331
4A	737558404
4A	737575738
4A	737578033
4A	737589472
4A	737590296
4A	737622091
4A	737623512
4A	737635435
4A	737668264
4A	737670545
4A	737681990
4A	737726567
4A	737793211
4A	737838258
4A	737857856
4A	737898781
4A	737939431
4A	737941118
4A	737942710
4A	737958701
4A	737983672
4A	737987588
4A	738003421
4A	738032358
4A	738048362
4A	738088952
4A	738092262
4A	738164499
4A	738175371
4A	738209960
4A	738257995
4A	738260294
4A	738292931
4A	738300206
4A	738339141
4A	738343057
4A	738379098
4A	738389917
4A	738424549
4A	738436798
4A	738485292
4A	738487962
4A	738519804
4A	738521649
4A	738529004
4A	738740537
4A	738766972
4A	738789791
4A	738804443
4A	738828372
4A	738852592
4A	738938893
4A	739503373
4A	739506000
4A	739510748
4A	739512144
4A	739521034
4A	739525763
4A	739539497
4A	739543174
4A	739546945
4A	739558562
4A	739593365
4A	739637979
4A	739657795
4A	739660480
4A	739662108
4A	739682027
4A	739685166
4A	739688601
4A	739693905
4A	739697119
4A	739712177
4A	739715379
4A	739719547
4A	739731427
4A	739739145
4A	739747582
4A	739760391
4A	739775187
4A	739780040
4A	739799668
4A	739825259
4A	739831300
4A	739834584
4A	739842728
4A	739845944
4A	739850840
4A	739852331
4A	739856599
4A	739871599
4A	739876464
4A	739882178
4A	739885956
4A	739893864
4A	739905004
4A	739927436
4A	739983786
4A	740011136
4A	740044557
4A	740053617
4A	740058100
4A	740060285
4A	740061495
4A	740089961
4A	740090791
4A	740116417
4A	740159698
4A	740169010
4A	740172686
4A	740175783
4A	740179367
4A	740181146
4A	740188347
4A	740197448
4A	740228071
4A	740229940
4A	740236910
4A	740268938
4A	740277308
4A	740326840
4A	740328975
4A	740330247
4A	740365066
4A	740375263
4A	740379760
4A	740383525
4A	740399037
4A	740481372
4A	740529762
4A	740565198
4A	740621763
4A	740773291
4A	740780003
4A	740785492
4A	740826438
4A	740828399
4A	740831191
4A	740835264
4A	740837107
4A	740849098
4A	740935172
4A	740939558
4A	740952536
4A	741013831
4A	741027776
4A	741029242
4A	741031732
4A	741038311
4A	741051842
4A	741605669
4A	741622865
4A	741628208
4A	741637185
4A	741640191
4A	741681369
4A	741698601
4A	741734057
4A	741737211
4A	741738874
4A	741755212
4A	741772481
4A	741786518
4A	741790131
4A	741793694
4A	741795481
4A	741796747
4A	741837296
4A	741839055
4A	741854658
4A	741857092
4A	741860527
4A	741866122
4A	741870950
4A	741874200
4A	741876652
4A	741901030
4A	741905336
4A	741914416
4A	741916928
4A	741941695
4A	741945563
4A	741954576
4A	741956845
4A	741981935
4A	741986093
4A	742146803
4A	742254814
4A	742353901
4A	742732355
4A	742733812
4A	742740169
4A	742780223
4A	742808898
4A	742841821
4A	742899732
4A	743448734
4A	743452045
4A	743456559
4A	743458605
4A	743464489
4A	743499684
4A	743502097
4A	743506237
4A	743507854
4A	743509389
4A	743510901
4A	743514109
4A	743882405
4A	743884835
4A	743927964
4A	743929855
4A	744030556
4A	744039442
4A	744070242
4A	744073201
4A	744079804
4A	744084093
4A	744086367
4A	744094505
4A	744096327
4A	744099862
4A	744101833
4A	744162230
4A	744177131
4A	744179501
4A	744186122
4A	744188459
4A	744204567
4A	744212918
4A	744219527
4A	744221902
4A	744268716
4A	744277032
4A	744278864
4A	744843117
4A	744859085
4A	744877155
4A	752490435
4B	3361737
4B	3426160
4B	3488754
4B	3560900
4B	3594462
4B	4116434
4B	4136639
4B	4147000
4B	4154730
4B	4178906
4B	4216117
4B	4235441
4B	4271876
4B	4292367
4B	4308441
4B	4318714
4B	4358101
4B	4387955
4B	4426009
4B	4601974
4B	4987690
4B	5000355
4B	5002589
4B	5025916
4B	5055835
4B	5327580
4B	5509880
4B	5577162
4B	5582563
4B	5600765
4B	5649278
4B	5673464
4B	5727174
4B	5765710
4B	6067611
4B	6110260
4B	6153239
4B	8118417
4B	8157539
4B	8162704
4B	8163648
4B	13197389
4B	13201373
4B	13204136
4B	13206448
4B	13208089
4B	13232236
4B	13234304
4B	13247483
4B	13251640
4B	13252762
4B	13267999
4B	13279244
4B	13281948
4B	14510552
4B	14512153
4B	14514066
4B	27722762
4B	27758946
4B	27792210
4B	27803978
4B	27806378
4B	27812523
4B	27856352
4B	27887838
4B	27894451
4B	28167747
4B	28274007
4B	28275226
4B	28278591
4B	28286144
4B	28288400
4B	32594829
4B	32707794
4B	32733628
4B	32760619
4B	32762382
4B	32765799
4B	32767334
4B	32799777
4B	32893274
4B	33499644
4B	33503585
4B	33515426
4B	33517854
4B	33525411
4B	33527933
4B	33529712
4B	33546843
4B	39561844
4B	39617466
4B	39620577
4B	39650058
4B	39771216
4B	39779463
4B	39816487
4B	39818227
4B	39893091
4B	39897905
4B	39919855
4B	39922468
4B	39924520
4B	39927576
4B	39956026
4B	47573523
4B	47744306
4B	47837151
4B	47838716
4B	76037774
4B	77923879
4B	78282666
4B	78285323
4B	78331957
4B	78333003
4B	78341069
4B	78359923
4B	78363899
4B	78365928
4B	78368181
4B	86887009
4B	90198827
4B	90224557
4B	412198638
4B	661159758
5A	5279563
5A	13014094
5A	13025020
5A	13111953
5A	13144575
5A	13177565
5A	13216634
5A	13372013
5A	13374348
5A	13377413
5A	13378694
5A	13390340
5A	13393205
5A	13405768
5A	13407481
5A	13425312
5A	13557290
5A	13568478
5A	13582029
5A	13584599
5A	13611307
5A	13744508
5A	13814214
5A	13850862
5A	13889498
5A	13891991
5A	13894618
5A	13898424
5A	13911920
5A	13945121
5A	13984997
5A	14015235
5A	14603862
5A	14625233
5A	14650322
5A	14683736
5A	14702106
5A	14867098
5A	14944377
5A	14946829
5A	15141108
5A	15150294
5A	15164876
5A	15167578
5A	15969762
5A	18191161
5A	18297499
5A	18323862
5A	18328774
5A	18333663
5A	18351380
5A	18416739
5A	18521760
5A	18527056
5A	18959151
5A	19047470
5A	19078315
5A	19132110
5A	19148908
5A	19175890
5A	19200901
5A	19251862
5A	19252817
5A	19279759
5A	32544596
5A	38862710
5A	38867534
5A	38911964
5A	38925914
5A	38950348
5A	38958578
5A	39091892
5A	39097964
5A	39103860
5A	39223561
5A	39269969
5A	39275697
5A	39350598
5A	39352900
5A	39414423
5A	39417016
5A	48350297
5A	48415908
5A	48623258
5A	48631278
5A	48930206
5A	48939270
5A	48977663
5A	48980598
5A	79060230
5A	79088512
5A	79235663
5A	82747255
5A	82760631
5A	82762296
5A	82768029
5A	82770462
5A	82771483
5A	82775170
5A	82823623
5A	82852136
5A	82853340
5A	82856629
5A	82858242
5A	82911002
5A	83426950
5A	125360075
5A	242575082
5A	362619706
5A	362621377
5A	362658939
5A	388714423
5A	398789383
5A	544926853
5A	544929015
5A	544940826
5A	545011896
5A	545079819
5A	545303883
5A	546972761
5A	546992952
5A	547000850
5A	547027942
5A	547073155
5A	547118155
5A	547417389
5A	547427070
5A	547506298
5A	547513941
5A	547598354
5A	555509747
5A	555597465
5A	555602916
5A	555619970
5A	555627230
5A	555635868
5A	555686784
5A	555784163
5A	555796954
5A	555798547
5A	555802724
5A	563199695
5A	563203717
5A	563205973
5A	563219997
5A	563249857
5A	563393106
5A	563413806
5A	563495395
5A	563530861
5A	563593616
5A	563667865
5A	563725077
5A	563785419
5A	563858919
5A	563863629
5A	563905978
5A	563914738
5A	563916501
5A	563961293
5A	563967373
5A	563974942
5A	564024708
5A	564027461
5A	564041146
5A	564045543
5A	564077080
5A	564082233
5A	564094490
5A	564118189
5A	564126123
5A	564130797
5A	564196527
5A	564202319
5A	564213940
5A	564226855
5A	564263653
5A	564271170
5A	564276127
5A	564376822
5A	564382028
5A	564386147
5A	564388040
5A	564398072
5A	564402898
5A	564404852
5A	564421989
5A	564455092
5A	564482323
5A	564665049
5A	564666422
5A	564669078
5A	564684816
5A	564696718
5A	567972198
5A	567975323
5A	568360565
5A	572739282
5A	572864333
5A	572872213
5A	572884059
5A	572885924
5A	572973069
5A	572974909
5A	572980413
5A	573147088
5A	573245264
5A	573247430
5A	573248101
5A	573289390
5A	573373534
5A	573398165
5A	574145848
5A	574187240
5A	574234228
5A	574239025
5A	574243943
5A	574255918
5A	574263483
5A	574270144
5A	574287403
5A	574288552
5A	574311308
5A	574314217
5A	574319709
5A	574327267
5A	574385343
5A	574443256
5A	574450925
5A	574463225
5A	574465514
5A	574654772
5A	574710440
5A	574729639
5A	574740892
5A	574743153
5A	574791204
5A	574795903
5A	574807977
5A	574829105
5A	574833399
5A	574843136
5A	574866630
5A	574871835
5A	574874493
5A	574875166
5A	574879163
5A	574881314
5A	574886910
5A	574891367
5A	575082311
5A	575138730
5A	575144121
5A	575199999
5A	575338448
5A	575344079
5A	575348395
5A	575353124
5A	575388292
5A	575657019
5A	575662803
5A	575772416
5A	575780659
5A	575781820
5A	575783497
5A	575796442
5A	575822302
5A	575830286
5A	575836429
5A	575985693
5A	575998782
5A	576019177
5A	576123556
5A	576136842
5A	576149436
5A	576150862
5A	576181627
5A	576231759
5A	576239609
5A	576241331
5A	578272639
5A	578459846
5A	578602767
5A	578784014
5A	578792040
5A	581019567
5A	607655525
5A	607657812
5A	608774689
5A	609293080
5A	609310295
5A	609335603
5A	609734099
5A	609737449
5A	609768004
5A	609770601
5A	609786657
5A	609810107
5A	609811525
5A	609914771
5A	609918834
5A	609922656
5A	609924856
5A	609929413
5A	609930906
5A	609937042
5A	609981506
5A	609988109
5A	609991190
5A	610032492
5A	610089866
5A	610136413
5A	610168505
5A	610171732
5A	610175664
5A	610238286
5A	610263911
5A	610268380
5A	610296176
5A	610306481
5A	610315218
5A	610334812
5A	610432206
5A	610456007
5A	610463489
5A	610483366
5A	610515480
5A	610545831
5A	610585944
5A	610594712
5A	610608084
5A	610794078
5A	610796732
5A	610843668
5A	610996799
5A	611000448
5A	611066847
5A	611128415
5A	611141106
5A	611144520
5A	611240451
5A	611245176
5A	611253083
5A	611325662
5A	611334008
5A	611339587
5A	611341621
5A	611412622
5A	611886929
5A	611888487
5A	612359893
5A	612470271
5A	612496472
5A	612522091
5A	612530937
5A	612537022
5A	612538412
5A	612678142
5A	612712187
5A	612725110
5A	612726806
5A	613622198
5A	613637029
5A	613643309
5A	613664629
5A	613668928
5A	613748465
5A	613820002
5A	613829145
5A	613853167
5A	613909109
5A	613943876
5A	614052633
5A	614057123
5A	614058422
5A	614110977
5A	614135878
5A	614241156
5A	614403126
5A	614490116
5A	614494598
5A	614497595
5A	614505824
5A	614511935
5A	614553620
5A	614559067
5A	614563739
5A	614569326
5A	614574668
5A	614834745
5A	614953028
5A	614960321
5A	614963443
5A	614988500
5A	614991384
5A	615017238
5A	615037375
5A	615044811
5A	615065645
5A	615123952
5A	615150628
5A	615153206
5A	615158227
5A	615188692
5A	615206242
5A	615248911
5A	615259646
5A	615873623
5A	615878379
5A	615903062
5A	615998941
5A	616088371
5A	616127181
