DATASET_COLORSTRIP							
SEPARATOR TAB							
DATASET_LABEL	Chromosome membership 7 colors						
COLOR	#000000						
STRIP_WIDTH	25						
MARGIN	5						
BORDER_WIDTH	1						
BORDER_COLOR	#000000						
SHOW_INTERNAL	0						
							
LEGEND_TITLE	Chromosome membership						
LEGEND_SHAPES	1	1	1	1	1	1	1
TrturKRN4A02G042700.1	#61bf81	4A	4				
TrturKRN4A02G043420.1	#61bf81	4A	4				
TrturKRN4A02G043800.1	#61bf81	4A	4				
TrturKRN4A02G044930.1	#61bf81	4A	4				
TrturKRN4A02G048680.1	#61bf81	4A	4				
TrturKRN4A02G048730.1	#61bf81	4A	4				
TrturKRN4A02G053280.1	#61bf81	4A	4				
TrturKRN4A02G053290.1	#61bf81	4A	4				
TrturKRN4A02G053580.1	#61bf81	4A	4				
TrturKRN4A02G053710.1	#61bf81	4A	4				
TrturKRN4A02G056055.1	#61bf81	4A	4				
TrturKRN4A02G056820.1	#61bf81	4A	4				
TrturKRN4A02G058280.1	#61bf81	4A	4				
TrturKRN4A02G059430.1	#61bf81	4A	4				
TrturKRN4A02G059440.1	#61bf81	4A	4				
TrturKRN4A02G059470.1	#61bf81	4A	4				
TrturKRN4A02G059740.1	#61bf81	4A	4				
TrturKRN4A02G059940.1	#61bf81	4A	4				
TrturKRN4A02G059950.1	#61bf81	4A	4				
TrturKRN4A02G059960.1	#61bf81	4A	4				
TrturKRN4A02G061270.1	#61bf81	4A	4				
TrturKRN4A02G063620.1	#61bf81	4A	4				
TrturKRN4A02G064450.1	#61bf81	4A	4				
TrturKRN4A02G064750.1	#61bf81	4A	4				
TrturKRN4A02G064840.1	#61bf81	4A	4				
TrturKRN4A02G064850.1	#61bf81	4A	4				
TrturKRN4A02G064860.1	#61bf81	4A	4				
TrturKRN4A02G065540.1	#61bf81	4A	4				
TrturKRN4A02G065580.1	#61bf81	4A	4				
TrturKRN4A02G065690.1	#61bf81	4A	4				
TrturKRN4A02G065710.1	#61bf81	4A	4				
TrturKRN4A02G065760.1	#61bf81	4A	4				
TrturKRN4A02G065850.1	#61bf81	4A	4				
TrturKRN4A02G065870.1	#61bf81	4A	4				
TrturKRN4A02G065900.1	#61bf81	4A	4				
TrturKRN4A02G065930.1	#61bf81	4A	4				
TrturKRN4A02G066470.1	#61bf81	4A	4				
TrturKRN4A02G066520.1	#61bf81	4A	4				
TrturKRN4A02G067180.1	#61bf81	4A	4				
TrturKRN4A02G067420.1	#61bf81	4A	4				
TrturKRN4A02G067710.1	#61bf81	4A	4				
TrturKRN4A02G067720.1	#61bf81	4A	4				
TrturKRN4A02G067853.1	#61bf81	4A	4				
TrturKRN4A02G068100.1	#61bf81	4A	4				
TrturKRN4A02G068340.1	#61bf81	4A	4				
TrturKRN4A02G068360.1	#61bf81	4A	4				
TrturKRN4A02G068370.1	#61bf81	4A	4				
TrturKRN4A02G068460.1	#61bf81	4A	4				
TrturKRN4A02G068480.1	#61bf81	4A	4				
TrturKRN4A02G068510.1	#61bf81	4A	4				
TrturKRN4A02G068570.1	#61bf81	4A	4				
TrturKRN4A02G068780.1	#61bf81	4A	4				
TrturKRN4A02G068970.1	#61bf81	4A	4				
TrturKRN4A02G068980.1	#61bf81	4A	4				
TrturKRN4A02G069370.1	#61bf81	4A	4				
TrturKRN4A02G069920.1	#61bf81	4A	4				
TrturKRN4A02G070040.1	#61bf81	4A	4				
TrturKRN4A02G070060.1	#61bf81	4A	4				
TrturKRN4A02G070120.1	#61bf81	4A	4				
TrturKRN4A02G070130.1	#61bf81	4A	4				
TrturKRN4A02G070140.1	#61bf81	4A	4				
TrturKRN4A02G071740.1	#61bf81	4A	4				
TrturKRN4A02G071750.1	#61bf81	4A	4				
TrturKRN4A02G071760.1	#61bf81	4A	4				
TrturKRN4A02G071810.1	#61bf81	4A	4				
TrturKRN4A02G071910.1	#61bf81	4A	4				
TrturKRN4A02G072010.1	#61bf81	4A	4				
TrturKRN4A02G072510.1	#61bf81	4A	4				
TrturKRN4A02G072670.1	#61bf81	4A	4				
TrturKRN4A02G072720.1	#61bf81	4A	4				
TrturKRN4A02G072730.1	#61bf81	4A	4				
TrturKRN4A02G072740.1	#61bf81	4A	4				
TrturKRN4A02G072910.1	#61bf81	4A	4				
TrturKRN4A02G073000.1	#61bf81	4A	4				
TrturKRN4A02G073030.1	#61bf81	4A	4				
TrturKRN4A02G073080.1	#61bf81	4A	4				
TrturKRN4A02G073090.1	#61bf81	4A	4				
TrturKRN4A02G073100.1	#61bf81	4A	4				
TrturKRN4A02G073260.1	#61bf81	4A	4				
TrturKRN4A02G073300.1	#61bf81	4A	4				
TrturKRN4A02G073310.1	#61bf81	4A	4				
TrturKRN4A02G073340.1	#61bf81	4A	4				
TrturKRN4A02G073370.1	#61bf81	4A	4				
TrturKRN4A02G073440.1	#61bf81	4A	4				
TrturKRN4A02G073590.1	#61bf81	4A	4				
TrturKRN4A02G073870.1	#61bf81	4A	4				
TrturKRN4A02G074010.1	#61bf81	4A	4				
TrturKRN4A02G074020.1	#61bf81	4A	4				
TrturKRN4A02G074060.1	#61bf81	4A	4				
TrturKRN4A02G074170.1	#61bf81	4A	4				
TrturKRN4A02G074435.1	#61bf81	4A	4				
TrturKRN4A02G074440.1	#61bf81	4A	4				
TrturKRN4A02G074530.1	#61bf81	4A	4				
TrturKRN4A02G074830.1	#61bf81	4A	4				
TrturKRN4A02G074890.1	#61bf81	4A	4				
TrturKRN4A02G075020.1	#61bf81	4A	4				
TrturKRN4A02G075068.1	#61bf81	4A	4				
TrturKRN4A02G075100.1	#61bf81	4A	4				
TrturKRN4B02G000650.1	#61bf81	4B	4				
TrturKRN4B02G000730.1	#61bf81	4B	4				
TrturKRN4B02G000770.1	#61bf81	4B	4				
TrturKRN4B02G000830.1	#61bf81	4B	4				
TrturKRN4B02G001020.1	#61bf81	4B	4				
TrturKRN4B02G001040.1	#61bf81	4B	4				
TrturKRN4B02G001070.1	#61bf81	4B	4				
TrturKRN4B02G001200.1	#61bf81	4B	4				
TrturKRN4B02G001460.1	#61bf81	4B	4				
TrturKRN4B02G001490.1	#61bf81	4B	4				
TrturKRN4B02G001500.1	#61bf81	4B	4				
TrturKRN4B02G001900.1	#61bf81	4B	4				
TrturKRN4B02G002610.1	#61bf81	4B	4				
TrturKRN4B02G014600.1	#61bf81	4B	4				
TrturKRN4B02G014630.1	#61bf81	4B	4				
TrturKRN4B02G014720.1	#61bf81	4B	4				
TrturKRN4B02G014820.1	#61bf81	4B	4				
TrturKRN4B02G015230.1	#61bf81	4B	4				
TrturKRN4B02G017650.1	#61bf81	4B	4				
TrturKRN4B02G020220.1	#61bf81	4B	4				
TrturKRN4B02G035210.1	#61bf81	4B	4				
TrturKRN4B02G048160.1	#61bf81	4B	4				
TrturKRN4B02G052075.1	#61bf81	4B	4				
TrturKRN4B02G054890.1	#61bf81	4B	4				
TrturKRN4B02G055440.1	#61bf81	4B	4				
TrturKRN4B02G056480.1	#61bf81	4B	4				
TrturKRN4B02G057910.1	#61bf81	4B	4				
TrturKRN5A02G003690.1	#97d9e9	5A	5				
TrturKRN5A02G003850.1	#97d9e9	5A	5				
TrturKRN5A02G004460.1	#97d9e9	5A	5				
TrturKRN5A02G005880.1	#97d9e9	5A	5				
TrturKRN5A02G005920.1	#97d9e9	5A	5				
TrturKRN5A02G010900.1	#97d9e9	5A	5				
TrturKRN5A02G013170.1	#97d9e9	5A	5				
TrturKRN5A02G025880.1	#97d9e9	5A	5				
TrturKRN5A02G025900.1	#97d9e9	5A	5				
TrturKRN5A02G026390.1	#97d9e9	5A	5				
TrturKRN5A02G026420.1	#97d9e9	5A	5				
TrturKRN5A02G027620.1	#97d9e9	5A	5				
TrturKRN5A02G036460.1	#97d9e9	5A	5				
TrturKRN5A02G036465.1	#97d9e9	5A	5				
TrturKRN5A02G040300.1	#97d9e9	5A	5				
TrturKRN5A02G040490.1	#97d9e9	5A	5				
TrturKRN5A02G041020.1	#97d9e9	5A	5				
TrturKRN5A02G042160.1	#97d9e9	5A	5				
TrturKRN5A02G047630.1	#97d9e9	5A	5				
TrturKRN5A02G047640.1	#97d9e9	5A	5				
TrturKRN5A02G047690.1	#97d9e9	5A	5				
TrturKRN5A02G053330.1	#97d9e9	5A	5				
TrturKRN5A02G057080.1	#97d9e9	5A	5				
TrturKRN5A02G057410.1	#97d9e9	5A	5				
TrturKRN5A02G066810.1	#97d9e9	5A	5				
TrturKRN5A02G073270.1	#97d9e9	5A	5				
TrturKRN5B02G001250.1	#97d9e9	5B	5				
TrturKRN5B02G001320.1	#97d9e9	5B	5				
TrturKRN5B02G001430.1	#97d9e9	5B	5				
TrturKRN5B02G001490.1	#97d9e9	5B	5				
TrturKRN5B02G001530.1	#97d9e9	5B	5				
TrturKRN5B02G001820.1	#97d9e9	5B	5				
TrturKRN5B02G001910.1	#97d9e9	5B	5				
TrturKRN5B02G003170.1	#97d9e9	5B	5				
TrturKRN5B02G004560.1	#97d9e9	5B	5				
TrturKRN5B02G004600.1	#97d9e9	5B	5				
TrturKRN5B02G004980.1	#97d9e9	5B	5				
TrturKRN5B02G005190.1	#97d9e9	5B	5				
TrturKRN5B02G005510.1	#97d9e9	5B	5				
TrturKRN5B02G005810.1	#97d9e9	5B	5				
TrturKRN5B02G006510.1	#97d9e9	5B	5				
TrturKRN5B02G007050.1	#97d9e9	5B	5				
TrturKRN5B02G007580.1	#97d9e9	5B	5				
TrturKRN5B02G007810.1	#97d9e9	5B	5				
TrturKRN5B02G008040.1	#97d9e9	5B	5				
TrturKRN5B02G013760.1	#97d9e9	5B	5				
TrturKRN5B02G014320.1	#97d9e9	5B	5				
TrturKRN5B02G016730.1	#97d9e9	5B	5				
TrturKRN5B02G016760.1	#97d9e9	5B	5				
TrturKRN5B02G030220.1	#97d9e9	5B	5				
TrturKRN5B02G030240.1	#97d9e9	5B	5				
TrturKRN5B02G030780.1	#97d9e9	5B	5				
TrturKRN5B02G030790.1	#97d9e9	5B	5				
TrturKRN5B02G037270.1	#97d9e9	5B	5				
TrturKRN5B02G037290.1	#97d9e9	5B	5				
TrturKRN5B02G037320.1	#97d9e9	5B	5				
TrturKRN5B02G038320.1	#97d9e9	5B	5				
TrturKRN5B02G041490.1	#97d9e9	5B	5				
TrturKRN5B02G046670.1	#97d9e9	5B	5				
TrturKRN5B02G047230.1	#97d9e9	5B	5				
TrturKRN5B02G048260.1	#97d9e9	5B	5				
TrturKRN5B02G048400.1	#97d9e9	5B	5				
TrturKRN5B02G050890.1	#97d9e9	5B	5				
TrturKRN5B02G050920.1	#97d9e9	5B	5				
TrturKRN5B02G050930.1	#97d9e9	5B	5				
TrturKRN5B02G053410.1	#97d9e9	5B	5				
TrturKRN5B02G053430.1	#97d9e9	5B	5				
TrturKRN5B02G053440.1	#97d9e9	5B	5				
TrturKRN5B02G056020.1	#97d9e9	5B	5				
TrturKRN5B02G059550.1	#97d9e9	5B	5				
TrturKRN5B02G060770.1	#97d9e9	5B	5				
TrturKRN5B02G061730.1	#97d9e9	5B	5				
TrturKRN5B02G061740.1	#97d9e9	5B	5				
TrturKRN5B02G063890.1	#97d9e9	5B	5				
TrturKRN5B02G063980.1	#97d9e9	5B	5				
TrturKRN5B02G063990.1	#97d9e9	5B	5				
TrturKRN5B02G064400.1	#97d9e9	5B	5				
TrturKRN5B02G064800.1	#97d9e9	5B	5				
TrturKRN5B02G067670.1	#97d9e9	5B	5				
TrturKRN5B02G068510.1	#97d9e9	5B	5				
TrturKRN5B02G074130.1	#97d9e9	5B	5				
TrturKRN5B02G074140.1	#97d9e9	5B	5				
TrturKRN5B02G074590.1	#97d9e9	5B	5				
TrturKRN5B02G074610.1	#97d9e9	5B	5				
TrturKRN5B02G074630.1	#97d9e9	5B	5				
TrturKRN5B02G074810.1	#97d9e9	5B	5				
TrturKRN5B02G076700.1	#97d9e9	5B	5				
TrturKRN5B02G078870.1	#97d9e9	5B	5				
TrturKRN5B02G078890.1	#97d9e9	5B	5				
TrturKRN5B02G081160.1	#97d9e9	5B	5				
TrturKRN5B02G081560.1	#97d9e9	5B	5				
TrturKRN5B02G083670.1	#97d9e9	5B	5				
TrturKRN5B02G083680.1	#97d9e9	5B	5				
TrturKRN5B02G083690.1	#97d9e9	5B	5				
TrturKRN5B02G083800.1	#97d9e9	5B	5				
TrturKRN5B02G084420.1	#97d9e9	5B	5				
TrturKRN5B02G085010.1	#97d9e9	5B	5				
TrturKRN5B02G085140.1	#97d9e9	5B	5				
TrturKRN5B02G085190.1	#97d9e9	5B	5				
TrturKRN5B02G085210.1	#97d9e9	5B	5				
TrturKRN5B02G085630.1	#97d9e9	5B	5				
TrturKRN5B02G085860.1	#97d9e9	5B	5				
TrturKRN5B02G086210.1	#97d9e9	5B	5				
TrturKRN5B02G086290.1	#97d9e9	5B	5				
TrturKRN5B02G086300.1	#97d9e9	5B	5				
TrturKRN6A02G000810.1	#4b78bc	6A	6				
TrturKRN6A02G000860.1	#4b78bc	6A	6				
TrturKRN6A02G000900.1	#4b78bc	6A	6				
TrturKRN6A02G000940.1	#4b78bc	6A	6				
TrturKRN6A02G000980.1	#4b78bc	6A	6				
TrturKRN6A02G001030.1	#4b78bc	6A	6				
TrturKRN6A02G001080.1	#4b78bc	6A	6				
TrturKRN6A02G001160.1	#4b78bc	6A	6				
TrturKRN6A02G001860.1	#4b78bc	6A	6				
TrturKRN6A02G001870.1	#4b78bc	6A	6				
TrturKRN6A02G002270.1	#4b78bc	6A	6				
TrturKRN6A02G002290.1	#4b78bc	6A	6				
TrturKRN6A02G002390.1	#4b78bc	6A	6				
TrturKRN6A02G002420.1	#4b78bc	6A	6				
TrturKRN6A02G002990.1	#4b78bc	6A	6				
TrturKRN6A02G005050.1	#4b78bc	6A	6				
TrturKRN6A02G005550.1	#4b78bc	6A	6				
TrturKRN6A02G005580.1	#4b78bc	6A	6				
TrturKRN6A02G006470.1	#4b78bc	6A	6				
TrturKRN6A02G009830.1	#4b78bc	6A	6				
TrturKRN6A02G009840.1	#4b78bc	6A	6				
TrturKRN6A02G010550.1	#4b78bc	6A	6				
TrturKRN6A02G012390.1	#4b78bc	6A	6				
TrturKRN6A02G014410.1	#4b78bc	6A	6				
TrturKRN6A02G020180.1	#4b78bc	6A	6				
TrturKRN6A02G020200.1	#4b78bc	6A	6				
TrturKRN6A02G026420.1	#4b78bc	6A	6				
TrturKRN6A02G047970.1	#4b78bc	6A	6				
TrturKRN6A02G053080.1	#4b78bc	6A	6				
TrturKRN6A02G057800.1	#4b78bc	6A	6				
TrturKRN6A02G060220.1	#4b78bc	6A	6				
TrturKRN6A02G060230.1	#4b78bc	6A	6				
TrturKRN6A02G060250.1	#4b78bc	6A	6				
TrturKRN6A02G061340.1	#4b78bc	6A	6				
TrturKRN6A02G061380.1	#4b78bc	6A	6				
TrturKRN6A02G061590.1	#4b78bc	6A	6				
TrturKRN6A02G061610.1	#4b78bc	6A	6				
TrturKRN6A02G061650.1	#4b78bc	6A	6				
TrturKRN6A02G062130.1	#4b78bc	6A	6				
TrturKRN6A02G062180.1	#4b78bc	6A	6				
TrturKRN6A02G062210.1	#4b78bc	6A	6				
TrturKRN6A02G062240.1	#4b78bc	6A	6				
TrturKRN6A02G062250.1	#4b78bc	6A	6				
TrturKRN6A02G062260.1	#4b78bc	6A	6				
TrturKRN6A02G062270.1	#4b78bc	6A	6				
TrturKRN6A02G062290.1	#4b78bc	6A	6				
TrturKRN6A02G062300.1	#4b78bc	6A	6				
TrturKRN6A02G062390.1	#4b78bc	6A	6				
TrturKRN6B02G000150.1	#4b78bc	6B	6				
TrturKRN6B02G000460.1	#4b78bc	6B	6				
TrturKRN6B02G000940.1	#4b78bc	6B	6				
TrturKRN6B02G001180.1	#4b78bc	6B	6				
TrturKRN6B02G001340.1	#4b78bc	6B	6				
TrturKRN6B02G001350.1	#4b78bc	6B	6				
TrturKRN6B02G002510.1	#4b78bc	6B	6				
TrturKRN6B02G002520.1	#4b78bc	6B	6				
TrturKRN6B02G003620.1	#4b78bc	6B	6				
TrturKRN6B02G005880.1	#4b78bc	6B	6				
TrturKRN6B02G006440.1	#4b78bc	6B	6				
TrturKRN6B02G006480.1	#4b78bc	6B	6				
TrturKRN6B02G006540.1	#4b78bc	6B	6				
TrturKRN6B02G007170.1	#4b78bc	6B	6				
TrturKRN6B02G007190.1	#4b78bc	6B	6				
TrturKRN6B02G007280.1	#4b78bc	6B	6				
TrturKRN6B02G007860.1	#4b78bc	6B	6				
TrturKRN6B02G008120.1	#4b78bc	6B	6				
TrturKRN6B02G008140.1	#4b78bc	6B	6				
TrturKRN6B02G008150.1	#4b78bc	6B	6				
TrturKRN6B02G011225.1	#4b78bc	6B	6				
TrturKRN6B02G012010.1	#4b78bc	6B	6				
TrturKRN6B02G013050.1	#4b78bc	6B	6				
TrturKRN6B02G013060.1	#4b78bc	6B	6				
TrturKRN6B02G013200.1	#4b78bc	6B	6				
TrturKRN6B02G013230.1	#4b78bc	6B	6				
TrturKRN6B02G013720.1	#4b78bc	6B	6				
TrturKRN6B02G014250.1	#4b78bc	6B	6				
TrturKRN6B02G014253.1	#4b78bc	6B	6				
TrturKRN6B02G014256.1	#4b78bc	6B	6				
TrturKRN6B02G014360.1	#4b78bc	6B	6				
TrturKRN6B02G014410.1	#4b78bc	6B	6				
TrturKRN6B02G014470.1	#4b78bc	6B	6				
TrturKRN6B02G014910.1	#4b78bc	6B	6				
TrturKRN6B02G017050.1	#4b78bc	6B	6				
TrturKRN6B02G018370.1	#4b78bc	6B	6				
TrturKRN6B02G018375.1	#4b78bc	6B	6				
TrturKRN6B02G019710.1	#4b78bc	6B	6				
TrturKRN6B02G020770.1	#4b78bc	6B	6				
TrturKRN6B02G023690.1	#4b78bc	6B	6				
TrturKRN6B02G023990.1	#4b78bc	6B	6				
TrturKRN6B02G025540.1	#4b78bc	6B	6				
TrturKRN6B02G025730.1	#4b78bc	6B	6				
TrturKRN6B02G026220.1	#4b78bc	6B	6				
TrturKRN6B02G026680.1	#4b78bc	6B	6				
TrturKRN6B02G026850.1	#4b78bc	6B	6				
TrturKRN6B02G028275.1	#4b78bc	6B	6				
TrturKRN6B02G035860.1	#4b78bc	6B	6				
TrturKRN6B02G062460.1	#4b78bc	6B	6				
TrturKRN6B02G069190.1	#4b78bc	6B	6				
TrturKRN6B02G069220.1	#4b78bc	6B	6				
TrturKRN6B02G069250.1	#4b78bc	6B	6				
TrturKRN6B02G069270.1	#4b78bc	6B	6				
TrturKRN6B02G069280.1	#4b78bc	6B	6				
TrturKRN6B02G069310.1	#4b78bc	6B	6				
TrturKRN6B02G069370.1	#4b78bc	6B	6				
TrturKRN6B02G070120.1	#4b78bc	6B	6				
TrturKRN6B02G071800.1	#4b78bc	6B	6				
TrturKRN6B02G072170.1	#4b78bc	6B	6				
TrturKRN6B02G072190.1	#4b78bc	6B	6				
TrturKRN6B02G072260.1	#4b78bc	6B	6				
TrturKRN6B02G072280.1	#4b78bc	6B	6				
TrturKRN6B02G072360.1	#4b78bc	6B	6				
TrturKRN6B02G072450.1	#4b78bc	6B	6				
TrturKRN6B02G072470.1	#4b78bc	6B	6				
TrturKRN6B02G072490.1	#4b78bc	6B	6				
TrturKRN6B02G072500.1	#4b78bc	6B	6				
TrturKRN6B02G073770.1	#4b78bc	6B	6				
TrturKRN6B02G073780.1	#4b78bc	6B	6				
TrturKRN6B02G073870.1	#4b78bc	6B	6				
TrturKRN6B02G073950.1	#4b78bc	6B	6				
TrturKRN6B02G074030.1	#4b78bc	6B	6				
TrturKRN6B02G074050.1	#4b78bc	6B	6				
TrturKRN6B02G074070.1	#4b78bc	6B	6				
TrturKRN6B02G074590.1	#4b78bc	6B	6				
TrturKRN6B02G074600.1	#4b78bc	6B	6				
TrturKRN6B02G074630.1	#4b78bc	6B	6				
TrturKRN6B02G074640.1	#4b78bc	6B	6				
TrturKRN6B02G074740.1	#4b78bc	6B	6				
TrturKRN6B02G074760.1	#4b78bc	6B	6				
TrturKRN6B02G074820.1	#4b78bc	6B	6				
TrturKRN6B02G075000.1	#4b78bc	6B	6				
TrturKRN6B02G075010.1	#4b78bc	6B	6				
TrturKRN6B02G075120.1	#4b78bc	6B	6				
TrturKRN6B02G075140.1	#4b78bc	6B	6				
TrturKRN6B02G075150.1	#4b78bc	6B	6				
TrturKRN6B02G075230.1	#4b78bc	6B	6				
TrturKRN6B02G075240.1	#4b78bc	6B	6				
TrturKRN6B02G075260.1	#4b78bc	6B	6				
TrturKRN6B02G075270.1	#4b78bc	6B	6				
TrturKRN6B02G075310.1	#4b78bc	6B	6				
TrturKRN6B02G075380.1	#4b78bc	6B	6				
TrturKRN6B02G075410.1	#4b78bc	6B	6				
TrturKRN6B02G075500.1	#4b78bc	6B	6				
TrturKRN6B02G075600.1	#4b78bc	6B	6				
TrturKRN6B02G075690.1	#4b78bc	6B	6				
TrturKRN6B02G075700.1	#4b78bc	6B	6				
TrturKRN6B02G075710.1	#4b78bc	6B	6				
TrturKRN6B02G075730.1	#4b78bc	6B	6				
TrturKRN6B02G075740.1	#4b78bc	6B	6				
TrturKRN6B02G075760.1	#4b78bc	6B	6				
TrturKRN6B02G075810.1	#4b78bc	6B	6				
TrturKRN6B02G075820.1	#4b78bc	6B	6				
TrturKRN6B02G075880.1	#4b78bc	6B	6				
TrturKRN6B02G075960.1	#4b78bc	6B	6				
TrturKRN6B02G077050.1	#4b78bc	6B	6				
TrturKRN6B02G077310.1	#4b78bc	6B	6				
TrturKRN6B02G077570.1	#4b78bc	6B	6				
TrturKRN7A02G000270.1	#bd519e	7A	7				
TrturKRN7A02G000400.1	#bd519e	7A	7				
TrturKRN7A02G000410.1	#bd519e	7A	7				
TrturKRN7A02G000870.1	#bd519e	7A	7				
TrturKRN7A02G000880.1	#bd519e	7A	7				
TrturKRN7A02G000900.1	#bd519e	7A	7				
TrturKRN7A02G000940.1	#bd519e	7A	7				
TrturKRN7A02G001080.1	#bd519e	7A	7				
TrturKRN7A02G001090.1	#bd519e	7A	7				
TrturKRN7A02G001110.1	#bd519e	7A	7				
TrturKRN7A02G001140.1	#bd519e	7A	7				
TrturKRN7A02G001180.1	#bd519e	7A	7				
TrturKRN7A02G002030.1	#bd519e	7A	7				
TrturKRN7A02G002050.1	#bd519e	7A	7				
TrturKRN7A02G002080.1	#bd519e	7A	7				
TrturKRN7A02G002490.1	#bd519e	7A	7				
TrturKRN7A02G003270.1	#bd519e	7A	7				
TrturKRN7A02G003530.1	#bd519e	7A	7				
TrturKRN7A02G003540.1	#bd519e	7A	7				
TrturKRN7A02G003620.1	#bd519e	7A	7				
TrturKRN7A02G004300.1	#bd519e	7A	7				
TrturKRN7A02G004980.1	#bd519e	7A	7				
TrturKRN7A02G005490.1	#bd519e	7A	7				
TrturKRN7A02G006070.1	#bd519e	7A	7				
TrturKRN7A02G006120.1	#bd519e	7A	7				
TrturKRN7A02G006150.1	#bd519e	7A	7				
TrturKRN7A02G006170.1	#bd519e	7A	7				
TrturKRN7A02G006220.1	#bd519e	7A	7				
TrturKRN7A02G006230.1	#bd519e	7A	7				
TrturKRN7A02G006250.1	#bd519e	7A	7				
TrturKRN7A02G006270.1	#bd519e	7A	7				
TrturKRN7A02G006370.1	#bd519e	7A	7				
TrturKRN7A02G006380.1	#bd519e	7A	7				
TrturKRN7A02G006430.1	#bd519e	7A	7				
TrturKRN7A02G007100.1	#bd519e	7A	7				
TrturKRN7A02G007180.1	#bd519e	7A	7				
TrturKRN7A02G007290.1	#bd519e	7A	7				
TrturKRN7A02G007330.1	#bd519e	7A	7				
TrturKRN7A02G007350.1	#bd519e	7A	7				
TrturKRN7A02G007370.1	#bd519e	7A	7				
TrturKRN7A02G011510.1	#bd519e	7A	7				
TrturKRN7A02G011670.1	#bd519e	7A	7				
TrturKRN7A02G011730.1	#bd519e	7A	7				
TrturKRN7A02G013320.1	#bd519e	7A	7				
TrturKRN7A02G015045.1	#bd519e	7A	7				
TrturKRN7A02G016520.1	#bd519e	7A	7				
TrturKRN7A02G016530.1	#bd519e	7A	7				
TrturKRN7A02G017500.1	#bd519e	7A	7				
TrturKRN7A02G017510.1	#bd519e	7A	7				
TrturKRN7A02G017540.1	#bd519e	7A	7				
TrturKRN7A02G017570.1	#bd519e	7A	7				
TrturKRN7A02G018620.1	#bd519e	7A	7				
TrturKRN7A02G018720.1	#bd519e	7A	7				
TrturKRN7A02G018730.1	#bd519e	7A	7				
TrturKRN7A02G018750.1	#bd519e	7A	7				
TrturKRN7A02G018760.1	#bd519e	7A	7				
TrturKRN7A02G018790.1	#bd519e	7A	7				
TrturKRN7A02G021030.1	#bd519e	7A	7				
TrturKRN7A02G021040.1	#bd519e	7A	7				
TrturKRN7A02G022050.1	#bd519e	7A	7				
TrturKRN7A02G026010.1	#bd519e	7A	7				
TrturKRN7A02G026020.1	#bd519e	7A	7				
TrturKRN7A02G035020.1	#bd519e	7A	7				
TrturKRN7A02G049950.1	#bd519e	7A	7				
TrturKRN7A02G050240.1	#bd519e	7A	7				
TrturKRN7A02G055330.1	#bd519e	7A	7				
TrturKRN7A02G060410.1	#bd519e	7A	7				
TrturKRN7A02G060980.1	#bd519e	7A	7				
TrturKRN7A02G061850.1	#bd519e	7A	7				
TrturKRN7A02G062010.1	#bd519e	7A	7				
TrturKRN7A02G064570.1	#bd519e	7A	7				
TrturKRN7A02G064600.1	#bd519e	7A	7				
TrturKRN7A02G068010.1	#bd519e	7A	7				
TrturKRN7A02G068090.1	#bd519e	7A	7				
TrturKRN7A02G068100.1	#bd519e	7A	7				
TrturKRN7A02G072260.1	#bd519e	7A	7				
TrturKRN7A02G073420.1	#bd519e	7A	7				
TrturKRN7A02G075330.1	#bd519e	7A	7				
TrturKRN7A02G076020.1	#bd519e	7A	7				
TrturKRN7A02G078180.1	#bd519e	7A	7				
TrturKRN7A02G078230.1	#bd519e	7A	7				
TrturKRN7A02G078240.1	#bd519e	7A	7				
TrturKRN7A02G079200.1	#bd519e	7A	7				
TrturKRN7A02G080010.1	#bd519e	7A	7				
TrturKRN7A02G080180.1	#bd519e	7A	7				
TrturKRN7A02G080370.1	#bd519e	7A	7				
TrturKRN7A02G082320.1	#bd519e	7A	7				
TrturKRN7A02G082590.1	#bd519e	7A	7				
TrturKRN7A02G082600.1	#bd519e	7A	7				
TrturKRN7A02G082760.1	#bd519e	7A	7				
TrturKRN7A02G083510.1	#bd519e	7A	7				
TrturKRN7A02G083720.1	#bd519e	7A	7				
TrturKRN7A02G084010.1	#bd519e	7A	7				
TrturKRN7A02G084020.1	#bd519e	7A	7				
TrturKRN7A02G084030.1	#bd519e	7A	7				
TrturKRN7A02G084400.1	#bd519e	7A	7				
TrturKRN7A02G084420.1	#bd519e	7A	7				
TrturKRN7A02G084490.1	#bd519e	7A	7				
TrturKRN7A02G084560.1	#bd519e	7A	7				
TrturKRN7A02G084780.1	#bd519e	7A	7				
TrturKRN7A02G084862.1	#bd519e	7A	7				
TrturKRN7A02G085410.1	#bd519e	7A	7				
TrturKRN7A02G085430.1	#bd519e	7A	7				
TrturKRN7A02G085440.1	#bd519e	7A	7				
TrturKRN7A02G085450.1	#bd519e	7A	7				
TrturKRN7A02G085470.1	#bd519e	7A	7				
TrturKRN7A02G085490.1	#bd519e	7A	7				
TrturKRN7A02G085520.1	#bd519e	7A	7				
TrturKRN7B02G000380.1	#bd519e	7B	7				
TrturKRN7B02G000470.1	#bd519e	7B	7				
TrturKRN7B02G001070.1	#bd519e	7B	7				
TrturKRN7B02G001540.1	#bd519e	7B	7				
TrturKRN7B02G001600.1	#bd519e	7B	7				
TrturKRN7B02G002550.1	#bd519e	7B	7				
TrturKRN7B02G004670.1	#bd519e	7B	7				
TrturKRN7B02G004680.1	#bd519e	7B	7				
